CapabilityID,CapabilityName,ParentCapabilityID,Level,Description,OwnerOrg,ContactID,Status,EffectiveFrom,EffectiveTo
8.3.7.4.1,Qualifications Management,,Level 5,The ability to manage the qualifications required.,,,,,
8.3.7.4.1.1,Language Assessment,,Level 6,The ability to evaluate the language proficiency of employees.,,,,,
8.3.7.4.1.2,Employee Certification and Accreditation ,,Level 6,The ability to confirm the validity of professional credentials.,,,,,
8.3.7.4.2,Learning Management,,Level 5,"The ability to facilitate the acquisition and development of employee knowledge, skills and abilities.",,,,,
8.3.7.4.2.1,Learning Requirements Assessment,,Level 6,"The ability to identify learning requirements in the organization and to assess their impact, risks and implication.",,,,,
8.3.7.4.2.2,Learning Content Development,,Level 6,"The ability to outline the objectives, expectations, delivery and assessment method(s) for a learning or training program and creating the content in-house or assessing those out-of-box for fit. ",,,,,
8.3.7.4.2.3,Learning Assessment Design,,Level 6,"The ability to create and design assessments to measure the impact of learning programs or experiences, whether to record satisfaction, measure knowledge and skills and transfer on the job, the effect on behaviour or the return on investment. ",,,,,
8.3.7.4.2.4,Learning Activities Administration,,Level 6,"The ability to administer learning activities including promotion of the activities, registration, and logistics.",,,,,
8.3.7.4.2.5,Learning Plan Management,,Level 6,The ability to create and manage an employee learning plan. ,,,,,
8.3.7.4.2.6,Learning Program Management,,Level 6,"The ability to set up and manage a learning program  , including mandatory training for various levels of employees and organizational needs. ",,,,,
8.3.7.4.3,Professional Development Management,,Level 5,The ability to manage training and development.,,,,,
8.3.7.4.3.1,Mentorship and Coaching Management,,Level 6,The ability to define and establish a distinct centre of excellence to facilitate the overall coaching and mentoring capabilities within the organization. ,,,,,
8.3.7.4.3.2,Leadership Development Management,,Level 6,The ability to provide employees with skills and abilities to become leaders in the workforce.,,,,,
8.3.7.5,Workforce Adjustment,,Level 4,The ability to manage workforce adjustment situations.,,,,,
8.3.7.5.1,Alternation Management,,Level 5,The ability to manage opting and surplus employees who wish to remain in the core public administration who wish to exchange with non affected employee.  ,,,,,
8.3.7.5.2,Voluntary Departure Management,,Level 5,The ability to manage employees who wish to voluntarily depart after the issuance of a Workforce Adjustment situation. ,,,,,
8.3.8,Workplace Management,,Level 3,The ability to manage the workplace including programs and employee complaints. ,,,,,
8.3.8.1,Workplace Wellness,,Level 4,"The ability to manage the mental and physical health of workers by preventing, identifying and removing risks AND hazards in the workplace.",,,,,
8.3.8.1.1,Workplace Health and Safety Management,,Level 5,"The ability to proactively prevent accidents, occurrences of harassment and violence and physical or psychological injuries and illnesses. ",,,,,
8.3.8.1.1.1,Workplace accident and Injury Management,,Level 6,"The ability to respond quickly to accidents, incidents or illnesses and provide injured or ill employees with access to resources to normalise their working arrangements.",,,,,
8.3.8.1.1.2,Workplace Harassment and Violence Prevention ,,Level 6,"The ability to respond quickly to notice of occurrence ensuring  workplaces are free from discrimination, harassment, violence and any forms of hate..",,,,,
8.3.8.1.1.3,Workplace Hazard Management,,Level 6,"The ability to proactively ensure that the workplace hazards that could reasonably be expected to cause accidents, occurrences of harassment and violence and physical or psychological injuries and illnesses are identified, communicated and eliminated, or mitigated. . ",,,,,
8.3.8.1.1.4,Workplace Inspection,,Level 6,"The ability to manage workplace inspections by scheduling, organizing and implementing.  This includes maintaining a calendar, understanding requirements, and performing the necessary inspections.  ",,,,,
8.3.8.1.1.5,Emergency Preparedness,,Level 6,"The ability to respond quickly to fires, and other emergencies by having a Building Emergency and Evacuation Team, plan and drills.",,,,,
8.3.8.1.2,Occupational Health Evaluations,,Level 5,"The ability to identify Bona Fide Occupational Requirements, perform occupational health evaluations for candidates and persons employed as well as administering tests and providing occupational health guidance and advice.",,,,,
8.3.8.1.3,Employee Assistance Management,,Level 5,"The ability to support employees, and their family members, experiencing health , well?being and productivity challenges",,,,,
8.3.8.2,Alternative Dispute Resolution Management,,Level 4,The ability to address workplace issues through  informal channels.,,,,,
8.3.8.2.1,Mediation,,Level 5,The ability to provide a non binding intervention to a conflict and promote resolution. ,,,,,
8.3.8.2.2,Informal Complaints,,Level 5,The ability to file a complaint not under a legislative body.,,,,,
8.3.8.3,Official Languages Management,,Level 4,The ability to ensure the GC fulfills its official languages responsibilities as a federal employer.,,,,,
8.3.8.3.1,Official Languages Promotion,,Level 5,The ability to promote the OL mandate and importance across the GC.,,,,,
8.3.8.3.2,Official Languages Obligations,,Level 5,The ability to provide services and documentation to stakeholders in both official languages.,,,,,
8.3.8.4,Diversity and Inclusion Management,,Level 4,"The ability to define and drive adoption for organizational and legislative requirements related to all facets of diversity, equity and inclusion, both internally and its messaging/actions externally. ",,,,,
8.3.8.4.1,Employment Equity,,Level 5,"The ability to ensure fair representation of, minority groups, women, aboriginal peoples, and persons with disabilities.",,,,,
8.3.8.4.2,Cultural Community Wellness ,,Level 5,The ability to provide support and resources for cultural communities in the workplace to foster wellness.,,,,,
8.3.8.4.2.1,Cultural Community Promotion,,Level 6,The ability to promote the different cultural communities within the organization by facilitating awareness and appreciation. ,,,,,
8.3.8.4.2.2,Cultural Community Support,,Level 6,The ability to organize networks and working groups for cultural communities in the workplace to improve diversity and inclusion ,,,,,
8.3.8.5,Organizational Culture,,Level 4,"The ability to guide shared values, beliefs, norms, and behaviors that are accepted by members of an organization.",,,,,
8.3.8.5.1,Organizational Culture Identity definition,,Level 5,The ability to identify and define the value proposition and cultural identity of the organization. ,,,,,
8.3.8.5.2,Organizational Culture Promotion ,,Level 5,The ability to ensure culture is defined within the values of the organization.,,,,,
8.3.8.5.3,Cross Program Management,,Level 5,The ability to establish and implement organization wide strategies and initiatives. ,,,,,
8.3.1,HR Framework Management,8.3,Level 3,"The ability to forecast, define, deliver and evaluate HRM programs and to ensure consistent execution.",,,,,
8.3.1.2.5,HRM Program Compliance and Monitoring,8.3.1.2,Level 5,"The ability to establish and manage the infrastructure and develop program specific requirements to address organizational obligations and identified deficiencies. Examples include committees, working groups, designated officials, and champions.",,,,,
8.3.1.2.5.1,Program Reporting,8.3.1.2.5,Level 6,The ability to report on the health of an HR program.,,,,,
8.3.1.2.6,HRM Risk Management,8.3.1.2,Level 5,The ability to forecast and manage risks by identifying solutions and minimizing impact.,,,,,
8.3.4.5,Candidate Management,8.3.4,Level 4,The ability to manage candidates who have applied for a job.,,,,,
8.3.4.5.1,Inventory and Pool Management,8.3.4.5,Level 5,The ability to manage a group of candidates and establish a pool of fully or partially qualified candidates for future resourcing needs.,,,,,
8.3.5.2.6,Recourse and Redress Outcome Management,8.3.5.2,Level 5,"The ability to gather evidence, provide recommendations based on facts and precedents, and implement decisions, including corrective actions, disciplinary measures, tribunal and adjudication decisions, etc.",,,,,
8.3.5.2.6.1,Decision Recommendations,8.3.5.2.6,Level 6,"The ability to recommend a course of action based on the outcomes of incidents, investigations, grievances, complaints, or adjudication.",,,,,
8.3.5.3.4,Strike Activity Management,8.3.5.3,Level 5,The ability to establish a strike management strategy for the GC.,,,,,
8.3.6.6,Employee Recognition,8.3.6,Level 4,"The ability to establish and deliver programs to recognize the contributions, milestones and successes of the workforce.",,,,,
8.3.6.6.1,Employee Contributions,8.3.6.6,Level 5,The ability to recognize the contributions an employee makes to the workplace.,,,,,
8.3.6.6.2,Employee Rewards,8.3.6.6,Level 5,The ability to provide a reward to the employee based on established criteria.,,,,,
8.3.6.6.3,Employee Service Anniversaries,8.3.6.6,Level 5,The ability to track and acknowledge an employee tenure.,,,,,
8.3.7.2.2,Workforce Accommodation Management,8.3.7.2,Level 5,"The ability to determine, identify, implement, and review accommodation measures.",,,,,
8.3.7.2.2.2,Return to Work Management,8.3.7.2.2,Level 6,The ability to manage an employee's return to the workforce following an extended absence.,,,,,
8.3.7.2.2.3,Disability Management,8.3.7.2.2,Level 6,The ability to manage an employee's schedule based on medical requirements.,,,,,
8.3.7.2.2.4,Accommodations Management,8.3.7.2.2,Level 6,The ability to manage workforce accommodations including determining accommodations and implementing measures.,,,,,
8.3.7.3.3,Career Planning,8.3.7.3,Level 5,The ability to guide the employee through management of their career goals and objectives.,,,,,

